DATE,OPEN,HIGH,LOW,CLOSE
2011/10/10,1.3395,1.3524,1.3359,1.3637
2011/10/11,1.3637,1.3698,1.3376,1.3674
2011/10/12,1.3674,1.3684,1.3564,1.3803
2011/10/13,1.3803,1.3833,1.358,1.379
2011/10/14,1.379,1.3827,1.3683,1.3875
2011/10/17,1.3875,1.3894,1.372,1.3748
2011/10/18,1.3748,1.3914,1.3729,1.3788
2011/10/19,1.3788,1.3817,1.3651,1.375
2011/10/20,1.375,1.3869,1.3723,1.3784
2011/10/21,1.3784,1.3842,1.3655,1.3869
2011/10/24,1.3869,1.39,1.3703,1.3925
2011/10/25,1.3925,1.3956,1.382,1.391
2011/10/26,1.391,1.3959,1.3847,1.3902
2011/10/27,1.3902,1.3974,1.3796,1.4179
2011/10/28,1.4179,1.4247,1.3863,1.4165
2011/10/31,1.4165,1.42,1.4132,1.384
2011/11/1,1.384,1.4169,1.3827,1.3678
2011/11/2,1.3678,1.3871,1.3608,1.3745
2011/11/3,1.3745,1.3829,1.3635,1.3831
2011/11/4,1.3831,1.3854,1.3654,1.3769
2011/11/7,1.3769,1.3866,1.371,1.377
2011/11/8,1.377,1.3837,1.3679,1.3837
2011/11/9,1.3837,1.3847,1.3722,1.3546
2011/11/10,1.3546,1.3858,1.3522,1.3595
2011/11/11,1.3595,1.3652,1.3481,1.3746
2011/11/14,1.3746,1.3795,1.3576,1.3637
2011/11/15,1.3637,1.3811,1.359,1.3541
2011/11/16,1.3541,1.364,1.3495,1.3484
2011/11/17,1.3484,1.3558,1.3427,1.3463
2011/11/18,1.3463,1.3539,1.342,1.3517
2011/11/21,1.3517,1.3614,1.3445,1.3505
2011/11/22,1.3505,1.354,1.3429,1.351
2011/11/23,1.351,1.3568,1.3467,1.3356
2011/11/24,1.3356,1.3531,1.3318,1.3338
2011/11/25,1.3338,1.3411,1.3315,1.3233
2011/11/28,1.3233,1.3355,1.321,1.3294
2011/11/29,1.3294,1.3398,1.3271,1.3327
2011/11/30,1.3327,1.3442,1.3284,1.344
2011/12/1,1.344,1.3531,1.3257,1.3456
2011/12/2,1.3456,1.3521,1.3415,1.3402
2011/12/5,1.3402,1.3548,1.3361,1.3392
2011/12/6,1.3392,1.3486,1.3374,1.3401
2011/12/7,1.3401,1.3427,1.3332,1.3413
2011/12/8,1.3413,1.3454,1.3349,1.3331
2011/12/9,1.3331,1.3459,1.3288,1.337
2011/12/12,1.337,1.3433,1.328,1.3185
2011/12/13,1.3185,1.3385,1.3161,1.3027
2011/12/14,1.3027,1.3236,1.3007,1.2984
2011/12/15,1.2984,1.3063,1.2944,1.3016
2011/12/16,1.3016,1.3049,1.2955,1.3034
2011/12/19,1.3034,1.3084,1.2994,1.2996
2011/12/20,1.2996,1.3043,1.298,1.3076
2011/12/21,1.3076,1.3131,1.2992,1.3043
2011/12/22,1.3043,1.3197,1.3023,1.3051
2011/12/23,1.3051,1.3119,1.3015,1.3038
2011/12/26,1.3038,1.3095,1.3024,1.3059
2011/12/27,1.3059,1.3082,1.303,1.3066
2011/12/28,1.3066,1.3083,1.304,1.2938
2011/12/29,1.2938,1.308,1.291,1.2961
2011/12/30,1.2961,1.2962,1.2856,1.2941
2012/1/2,1.2941,1.2998,1.2902,1.2922
2012/1/3,1.2922,1.2967,1.2915,1.305
2012/1/4,1.305,1.3076,1.293,1.2947
2012/1/5,1.2947,1.3072,1.2896,1.2779
2012/1/6,1.2779,1.2947,1.277,1.2721
2012/1/9,1.2721,1.2812,1.2696,1.2769
2012/1/10,1.2769,1.2785,1.2664,1.2774
2012/1/11,1.2774,1.2818,1.2741,1.2705
2012/1/12,1.2705,1.2789,1.2661,1.2825
2012/1/13,1.2825,1.2844,1.2697,1.2684
2012/1/16,1.2684,1.2878,1.2623,1.2675
2012/1/17,1.2675,1.2687,1.2624,1.2723
2012/1/18,1.2723,1.2808,1.2647,1.2849
2012/1/19,1.2849,1.2863,1.2732,1.2957
2012/1/20,1.2957,1.2958,1.2837,1.2928
2012/1/23,1.2928,1.2986,1.2886,1.3033
2012/1/24,1.3033,1.3052,1.2869,1.3023
2012/1/25,1.3023,1.3062,1.2952,1.311
2012/1/26,1.311,1.312,1.2929,1.3105
2012/1/27,1.3105,1.3184,1.3088,1.3215
2012/1/30,1.3215,1.3233,1.3075,1.3117
2012/1/31,1.3117,1.323,1.3074,1.3083
2012/2/1,1.3083,1.3213,1.3041,1.3153
2012/2/2,1.3153,1.3218,1.3023,1.3147
2012/2/3,1.3147,1.3196,1.3083,1.3146
2012/2/6,1.3146,1.3205,1.3065,1.3131
2012/2/7,1.3131,1.3141,1.3026,1.3244
2012/2/8,1.3244,1.327,1.3086,1.326
2012/2/9,1.326,1.329,1.3218,1.3284
2012/2/10,1.3284,1.3321,1.3213,1.3166
2012/2/13,1.3166,1.3291,1.3153,1.3191
2012/2/14,1.3191,1.3283,1.3186,1.3115
2012/2/15,1.3115,1.3216,1.3078,1.3074
2012/2/16,1.3074,1.319,1.3043,1.3153
2012/2/17,1.3153,1.3159,1.2973,1.3157
2012/2/20,1.3157,1.3198,1.3113,1.3241
2012/2/21,1.3241,1.3276,1.3172,1.3236
2012/2/22,1.3236,1.3292,1.3184,1.3245
2012/2/23,1.3245,1.3266,1.3209,1.3365
2012/2/24,1.3365,1.3373,1.3229,1.3463
2012/2/27,1.3463,1.3486,1.3355,1.34
2012/2/28,1.34,1.3478,1.3364,1.3461
2012/2/29,1.3461,1.347,1.3388,1.3322
2012/3/1,1.3322,1.3485,1.3313,1.3306
2012/3/2,1.3306,1.3356,1.328,1.3207
2012/3/5,1.3207,1.3332,1.3185,1.3221
2012/3/6,1.3221,1.324,1.3158,1.3112
2012/3/7,1.3112,1.3226,1.3101,1.3148
2012/3/8,1.3148,1.3164,1.3095,1.3266
2012/3/9,1.3266,1.3291,1.3133,1.3114
2012/3/12,1.3114,1.3283,1.3095,1.315
2012/3/13,1.315,1.3157,1.3079,1.3071
2012/3/14,1.3071,1.3191,1.3052,1.302
2012/3/15,1.302,1.309,1.301,1.3094
2012/3/16,1.3094,1.3119,1.3004,1.3168
2012/3/19,1.3168,1.3187,1.3049,1.3236
2012/3/20,1.3236,1.3265,1.3141,1.3217
2012/3/21,1.3217,1.3252,1.3172,1.3207
2012/3/22,1.3207,1.3285,1.3178,1.3187
2012/3/23,1.3187,1.3254,1.3134,1.3262
2012/3/26,1.3262,1.3293,1.319,1.3361
2012/3/27,1.3361,1.3368,1.319,1.3329
2012/3/28,1.3329,1.3385,1.3317,1.3321
2012/3/29,1.3321,1.3374,1.3276,1.3293
2012/3/30,1.3293,1.3346,1.3252,1.3336
2012/4/2,1.3336,1.3377,1.3298,1.3328
2012/4/3,1.3328,1.338,1.3279,1.3229
2012/4/4,1.3229,1.3368,1.3212,1.3139
2012/4/5,1.3139,1.3239,1.3107,1.3064
2012/4/6,1.3064,1.3164,1.3035,1.3088
2012/4/9,1.3088,1.3113,1.3052,1.3117
2012/4/10,1.3117,1.3134,1.3031,1.3076
2012/4/11,1.3076,1.3144,1.3053,1.3102
2012/4/12,1.3102,1.3157,1.3067,1.3187
2012/4/13,1.3187,1.3213,1.3102,1.3072
2012/4/16,1.3072,1.3201,1.3068,1.3138
2012/4/17,1.3138,1.3148,1.2995,1.313
2012/4/18,1.313,1.3173,1.309,1.3114
2012/4/19,1.3114,1.3141,1.3058,1.3134
2012/4/20,1.3134,1.3165,1.307,1.3215
