DATE,OPEN,HIGH,LOW,CLOSE
2007/10/4,116.68,116.78,115.56,116.68
2007/10/5,116.68,116.77,116.27,116.85
2007/10/8,116.85,117.29,116.36,117.36
2007/10/9,117.36,117.61,116.95,117.19
2007/10/10,117.19,117.49,116.8,117.26
2007/10/11,117.26,117.54,116.97,117.09
2007/10/12,117.09,117.79,117.06,117.59
2007/10/15,117.59,117.69,117.15,117.23
2007/10/16,117.23,117.95,117.11,116.76
2007/10/17,116.76,117.47,116.45,116.58
2007/10/18,116.58,117.2,116.18,116.65
2007/10/19,116.65,116.7,115.28,114.8
2007/10/22,114.8,115.73,114.7,114.1
2007/10/23,114.1,114.32,113.25,114.71
2007/10/24,114.71,115.04,114.24,114.12
2007/10/25,114.12,114.96,113.81,114.06
2007/10/26,114.06,114.58,113.77,114.23
2007/10/29,114.23,114.57,113.92,114.59
2007/10/30,114.59,114.9,114.01,114.69
2007/10/31,114.69,115.03,114.39,115.36
2007/11/1,115.36,115.5,114.54,114.89
2007/11/2,114.89,115.92,114.47,114.69
2007/11/5,114.69,115.42,114.37,114.36
2007/11/6,114.36,114.81,114.02,114.6
2007/11/7,114.6,114.78,114.27,112.8
2007/11/8,112.8,114.79,112.77,112.65
2007/11/9,112.65,113.37,112,110.91
2007/11/12,110.91,112.88,110.5,109.9
2007/11/13,109.9,110.78,109.12,110.88
2007/11/14,110.88,110.94,109.22,111.59
2007/11/15,111.59,111.76,110.77,110.31
2007/11/16,110.31,111.68,110.22,110.82
2007/11/19,110.82,111.34,109.78,109.85
2007/11/20,109.85,111.07,109.75,109.68
2007/11/21,109.68,110.58,109.51,108.58
2007/11/22,108.58,109.97,108.26,108.52
2007/11/23,108.52,109.17,108.3,108.15
2007/11/26,108.15,108.6,107.55,107.25
2007/11/27,107.25,108.79,107.23,108.68
2007/11/28,108.68,108.88,107.28,109.98
2007/11/29,109.98,110.48,108.27,109.88
2007/11/30,109.88,110.31,109.47,111.18
2007/12/3,111.18,111.22,109.67,110.46
2007/12/4,110.46,111.01,110.13,109.9
2007/12/5,109.9,110.53,109.56,110.91
2007/12/6,110.91,110.97,109.72,111.43
2007/12/7,111.43,111.46,110.63,111.71
2007/12/10,111.71,111.79,111.18,111.66
2007/12/11,111.66,111.89,111.37,110.63
2007/12/12,110.63,112.15,110.48,112.05
2007/12/13,112.05,112.48,110.66,112.2
2007/12/14,112.2,112.45,111.41,113.38
2007/12/17,113.38,113.59,112.22,113.02
2007/12/18,113.02,113.48,112.83,113.3
2007/12/19,113.3,113.53,112.75,113.35
2007/12/20,113.35,113.5,112.75,113.04
2007/12/21,113.04,113.4,112.8,114.06
2007/12/24,114.06,114.2,112.95,114.44
2007/12/25,114.44,114.47,113.99,114.16
2007/12/26,114.16,114.16,114.16,114.32
2007/12/27,114.32,114.39,113.93,113.69
2007/12/28,113.69,114.66,113.58,112.8
2007/12/31,112.8,114.02,112.67,111.77
2008/1/1,111.77,112.66,111.5,111.77
2008/1/2,111.77,111.77,111.77,109.43
2008/1/3,109.43,112.1,109.22,109.32
2008/1/4,109.32,109.75,108.25,108.46
2008/1/7,108.46,109.6,107.9,109.02
2008/1/8,109.02,109.73,108.5,109.22
2008/1/9,109.22,109.84,109,109.87
2008/1/10,109.87,109.95,108.79,109.62
2008/1/11,109.62,110.1,109.12,109.9
2008/1/14,109.9,109.7,108.64,108.29
2008/1/15,108.29,108.95,107.38,106.82
2008/1/16,106.82,108.34,106.6,106.82
2008/1/17,106.82,107.53,105.93,107
2008/1/18,107,107.67,106.6,106.67
2008/1/21,106.67,107.6,106.35,106.06
2008/1/22,106.06,106.97,105.68,106.44
2008/1/23,106.44,107.05,105.62,105.93
2008/1/24,105.93,107.38,104.97,106.8
2008/1/25,106.8,107.03,105.95,107.01
2008/1/28,107.01,107.9,106.75,106.85
2008/1/29,106.85,107.04,106,106.98
2008/1/30,106.98,107.24,106.4,106.39
2008/1/31,106.39,107.46,106.3,106.48
2008/2/1,106.48,106.87,105.71,106.49
2008/2/4,106.49,106.74,105.77,106.75
2008/2/5,106.75,107.1,106.6,106.9
2008/2/6,106.9,107.75,106.6,106.55
2008/2/7,106.55,106.85,106.19,107.47
2008/2/8,107.47,107.83,105.92,107.35
2008/2/11,107.35,107.73,107.15,106.97
2008/2/12,106.97,107.65,106.34,107.35
2008/2/13,107.35,107.53,106.79,108.22
2008/2/14,108.22,108.37,107,107.97
2008/2/15,107.97,108.61,107.77,107.65
2008/2/18,107.65,108.31,107.27,107.65
2008/2/19,107.65,108.09,107.76,107.61
2008/2/20,107.61,108.28,107.21,108.08
2008/2/21,108.08,108.24,107.42,107.31
2008/2/22,107.31,108.33,107.15,106.92
2008/2/25,106.92,107.57,106.69,108.06
2008/2/26,108.06,108.22,107.2,107.24
2008/2/27,107.24,108.14,107.2,106.44
2008/2/28,106.44,107.39,105.96,105.22
2008/2/29,105.22,106.65,105.07,103.82
2008/3/3,103.82,105.37,103.83,103.21
2008/3/4,103.21,103.7,102.62,103.32
2008/3/5,103.32,103.57,102.65,103.81
2008/3/6,103.81,104.19,103.3,102.58
2008/3/7,102.58,104,102.73,102.74
2008/3/10,102.74,103.24,101.41,101.79
2008/3/11,101.79,102.65,101.55,103.4
2008/3/12,103.4,103.53,101.43,101.69
2008/3/13,101.69,103.52,101.67,101.03
2008/3/14,101.03,101.77,99.77,99.24
2008/3/17,99.24,101.09,98.89,97.44
2008/3/18,97.44,99.3,95.77,97.58
2008/3/19,97.58,99.7,96.86,99.01
2008/3/20,99.01,100.45,97.67,98.7
2008/3/21,98.7,100.21,98.46,99.33
2008/3/24,99.33,99.74,99.03,100.8
2008/3/25,100.8,100.9,99.39,100.31
2008/3/26,100.31,101.03,99.63,99.32
2008/3/27,99.32,100.32,98.89,99.82
2008/3/28,99.82,100.16,98.57,99.19
2008/3/31,99.19,100.4,99.11,99.73
2008/4/1,99.73,100.19,98.81,102.01
2008/4/2,102.01,102.16,99.6,102.38
2008/4/3,102.38,102.84,101.51,102.35
2008/4/4,102.35,102.95,102.07,101.76
2008/4/7,101.76,102.69,101.47,102.42
2008/4/8,102.42,102.65,101.35,102.52
2008/4/9,102.52,102.68,101.76,101.68
2008/4/10,101.68,102.84,101.5,101.88
2008/4/11,101.88,102.05,100.03,100.82
2008/4/14,100.82,102.28,100.65,101.05
2008/4/15,101.05,101.95,100.3,101.57
2008/4/16,101.57,101.8,100.8,101.73
2008/4/17,101.73,101.93,100.83,102.47
2008/4/18,102.47,102.72,101.7,103.86
2008/4/21,103.86,104.65,102.25,103.18
2008/4/22,103.18,104.07,102.99,102.92
2008/4/23,102.92,103.55,102.68,103.47
2008/4/24,103.47,103.79,102.75,104.36
2008/4/25,104.36,104.55,103.33,104.46
2008/4/28,104.46,104.82,103.9,104.25
2008/4/29,104.25,104.82,104.24,103.99
2008/4/30,103.99,104.35,103.22,103.94
2008/5/1,103.94,104.89,103.7,104.39
2008/5/2,104.39,104.58,103.55,105.25
2008/5/5,105.25,105.7,104.36,104.79
2008/5/6,104.79,105.62,104.74,104.73
2008/5/7,104.73,105.12,104.02,104.86
2008/5/8,104.86,105.58,104.65,104.01
2008/5/9,104.01,104.95,103.31,102.93
2008/5/12,102.93,103.96,102.62,103.85
2008/5/13,103.85,104.04,102.58,104.8
2008/5/14,104.8,104.92,103.4,105.26
2008/5/15,105.26,105.44,104.58,104.74
2008/5/16,104.74,105.29,104.43,104.11
2008/5/19,104.11,105.9,103.53,104.33
2008/5/20,104.33,104.69,103.53,103.63
2008/5/21,103.63,104.48,103.45,103.06
2008/5/22,103.06,103.68,102.96,104.36
2008/5/23,104.36,104.38,102.74,103.08
2008/5/26,103.08,104.25,103.06,103.42
2008/5/27,103.42,103.49,103.14,103.25
2008/5/28,103.25,104.33,103.27,104.68
2008/5/29,104.68,105.32,103.89,105.56
2008/5/30,105.56,105.87,104.67,105.47
2008/6/2,105.47,105.73,105.24,104.39
2008/6/3,104.39,105.52,104.02,104.86
2008/6/4,104.86,105.7,103.87,105.23
2008/6/5,105.23,105.38,104.54,105.66
2008/6/6,105.66,106.44,105.21,105.1
2008/6/9,105.1,106.32,104.95,106.09
2008/6/10,106.09,106.34,104.4,107.3
2008/6/11,107.3,107.45,106.25,106.93
2008/6/12,106.93,107.76,106.56,106.91
2008/6/13,106.91,108.08,106.8,108.22
2008/6/16,108.22,108.43,107.65,108.09
2008/6/17,108.09,108.59,107.93,107.99
2008/6/18,107.99,108.4,107.61,107.86
2008/6/19,107.86,108.44,107.72,107.86
2008/6/20,107.86,108.07,107.42,107.25
2008/6/23,107.25,108.07,107.12,107.78
